id,name,Math,Reading,Science,Accumulated
AUS,Australia,494,503,510,1507
AUT,Austria,497,485,495,1477
BEL,Belgium,507,499,502,1508
CAN,Canada,516,527,528,1571
CZE,Czech Republic,492,487,493,1472
DNK,Denmark,511,500,502,1513
FIN,Finland,511,526,531,1568
FRA,France,493,499,495,1487
DEU,Germany,506,509,509,1524
GRC,Greece,454,467,455,1376
HUN,Hungary,477,470,477,1424
ISL,Iceland,488,482,473,1443
IRL,Ireland,504,521,503,1528
ITA,Italy,490,485,481,1456
JPN,Japan,532,516,538,1586
KOR,South Korea,524,517,516,1557
LUX,Luxembourg,486,481,483,1450
MEX,Mexico,408,423,416,1247
NLD,Netherlands,512,503,509,1524
NZL,New Zealand,495,509,513,1517
NOR,Norway,502,513,498,1513
POL,Poland,504,506,501,1511
PRT,Portugal,492,498,501,1491
SVK,Slovakia,475,453,461,1389
ESP,Spain,486,496,493,1475
SWE,Sweden,494,500,493,1487
CHE,Switzerland,521,492,506,1519
TUR,Turkey,420,428,425,1273
GBR,United Kingdom,492,498,509,1499
USA,United States,470,497,496,1463
BRA,Brazil,377,407,401,1185
CHL,Chile,423,459,447,1329
EST,Estonia,520,519,534,1573
IDN,Indonesia,386,397,403,1186
ISR,Israel,470,479,467,1416
LVA,Latvia,482,488,490,1460
RUS,Russia,494,495,487,1476
SVN,Slovenia,510,505,513,1528
